Title,Video Id,View Count,Like Count,Dislike Count,Comment Count,Content Owner
#1 [CARDING TUTORIAL] PlayStore Bin May 2018 (WORKING),DOJ3rRXXdxo,9893,113,16,69
#2 [CARDING TUTORIAL] PayPal BIN (WORKING),FlstvI8v3pg,10410,140,16,34
"PayPal Carding March ,2018 Step by Step tutorial with BIN+Method   YouTube",jay1G7JWIzE,3943,41,8,12
CARDING Tutorial #1 - Como Extrapolar Cc's Para COMPRAS en LINEA.,JxnBVrwBsLs,29232,491,41,75
MARCH 2018 Carding Private Website With Bin,bdS29YnlBCI,8319,74,12,9
How to make working bin codes for carding [new generator],H6r610mKSkA,7849,95,11,51
Private Bin For Carding Enjoy By (BasicHacker),ruTujjXSTm4,5976,43,5,8
"PayPal Carding March ,2018 Step by Step tutorial with BIN+Method   YouTube",5v78xcB4peg,1746,26,2,4
New Ebay Method 2018 Using BIN !,1v_C8xj399w,2100,37,11,57
Amazon Carding Method [New-Bin] 2018 ,Q2m7rhvFqNs,1872,106,16,58
Paypal Loading/Carding 100% Working cashout method plus bin of Aug 2017,GJEkDMVHCMQ,72771,287,84,65
Aliexpress carding method 2018,2OSRtYDKqFw,12440,138,26,123
Como Generar Un Bin || Tutorial Basico 2017,I6T6ljZRD0k,45119,604,118,101
Real Complete Carding Tutorial 2018 Latest Method,vHx0GvlzoiA,7480,226,46,88
Carding steam with bin,4821Ab2KQos,5769,40,3,42
"PayPal Carding (July ,2017) Step by Step tutorial with BIN+Method",NKHpgiuwK_Y,12108,82,14,21
Carding Aliexpress With new method 2017 + Bin step by step *WORK WITH PROOF*,lEl3GH1ry50,5371,30,11,18
New Amazon Carding Method With 100 Working Bin 2017- 2018 [with proof] | Carding,VrCHk7U7oZ8,11850,121,31,86
Leatest carding tutorial with bin,yaTmn252l2k,430,7,2,4
Amazon.de carding tutorial new and newly verified bin,W5yO3KjtJ0o,727,16,5,0
What Is BIN (Bank Identification Number) ? How Carders Use BIN For Carding ,pjwUzawTF3c,3710,228,8,95
Walmart Carding Private Bin  Work % Shipped  Buy  Laptop ,k6T0Vzeb7tM,1278,4,4,2
Amazon.com carding full tutorial 2k17 method and bin ( Be careful ),ckI7rJaKX1A,1020,15,1,32
Amazon hack Carding Method With 100 Working Bin 2017  2018 with proof   Carding,_GkbinpTYMI,3085,36,5,17
Paypal Method + Bin New (actually works) (check last video that work for pp money),gHAHVbr-fuI,2019,20,3,12
New Steam Carding Method 2018,0veYuALjDK4,9249,82,23,63
AMAZON CARDING WITH BIN IS FAKE,SqieQhnsu3U,718,10,1,11
Google Play Carding   Bin Method 2017,aF9z_Leuy-M,3219,9,2,6
how to card amazon prime with bins,Iri1mUSQUs8,601,13,1,10
#2 [CARDING TUTORIAL] Twitch Prime and Amazon Prime (WORKING),p3X_Kzwt89E,1848,30,1,11
CARDING | Vistaprint New Bin 2018,FwlsV-4Z06E,1239,14,0,8
NEW METHOD How to add Credit Card on PayPal USING BIN,egCPuHsgTEo,2499,29,4,9
How to card eBay.ph using PH bin (PH based),29Rlf5b5mq4,981,12,4,11
4M4Z0N METHOD 2018|%100 SHIPPED/bin dead.,6MAEjIkr4o8,2734,42,2,23
New Method | Amazon Bin Carding 2018 | +Proof,0cBzvbej2Qk,641,23,9,12
Netflix Bin Method,PwZYMofdV5U,1664,6,5,5
Carding iPhone X (2018) with New Amazon Method [Proof+Bin+Shipping] 100%!,RCxooDCCRl0,3476,40,15,11
eBay carding tutorial 2017 April bin and newest method,bQB6lce6PQM,1223,10,6,10
Carding Method Amazon - 100% working Bin 2018,zaPNPN85ERQ,1054,16,3,10
Full carding tutorial,gpu4v8bW3fE,472,8,2,8
Silver Oak CASINO BIN [Carding Method],C9LKvKcLfhE,1367,15,1,8
Ebay Working Method||No IBan Needed||No Vpn Needed||2018||Official,uSzcJoeqw1k,2904,60,9,82
OTTO.de Shop Carding 2018 (with BIN!) Godly working !!,GtCtcsgs7as,596,9,1,34
Napster Carding Method Bin,CpMR5X_MFH8,714,4,2,0
New Amazon Carding Method(Get Anything For Free From Amazon.in),rt6-ouN2B1g,34465,602,73,415
Amazon Carding Method With 100% Working Bin 2017 with proof,NByYReiczUY,1023,8,3,18
TUTORIAL BIN CARD CREDIT KE PAYPAL - HACK PAYPAL -,6ZDtJFyyNaI,893,19,2,6
AliExpress.com carding (New method ) new bin,eIytOBt6gYs,1835,32,6,13
Victoria Secret Latest Carding Method 2018!,BM-Q6zsXQ0c,1878,44,5,75
Pizza hut hack | free pizza | Carding tutorial#2,8DQAhtbmAis,1840,18,2,12
